avar;value
concentraion_product;0,995
concentraion_feed;0,925
concentraion_waste;0,9
temperature;15
product_flow;150
flow_reduction_share;0,5
number_theoretical_plates;20
product_flow_mol;2,44793
coefficient_separation;1,05454
coefficient_enrichment;0,05454
number_theoretical_plates_enrichment;51
number_theoretical_plates_depleted;6
all_number_theoretical_plates;114
number_column;6
concentration_product_P0;0,99984
initial_flow;71,38279
coefficient_cascade;1,5762
result_waste;6,85956
result_feed;9,30749
result_concentartion_product;0,995
result_concentartion_waste;0,90002
